team1,team2,prob1,prob2,person1,person2
Washington,Tennessee,0.0,1.0,Josh,Micah
Baltimore,L.A. Chargers,1.0,0.0,John,Matt
Atlanta,Carolina,1.0,0.0,Matt,Ryan
Buffalo,New England,0.0,1.0,Ryan,Aaron
Cincinnati,Cleveland,0.0,1.0,Jon,
Green Bay,N.Y. Jets,1.0,0.0,Jon,Josh
Houston,Philadelphia,0.0,1.0,Colin,Brad
Jacksonville,Miami,1.0,0.0,Brian,Brad
Minnesota,Detroit,1.0,0.0,Josh,Colin
N.Y. Giants,Indianapolis,0.0,1.0,John,Colin
Tampa Bay,Dallas,0.0,1.0,Brian,Brad
Chicago,San Francisco,1.0,0.0,Aaron,Aaron
L.A. Rams,Arizona,1.0,0.0,John,
Pittsburgh,New Orleans,0.0,1.0,Brian,Micah
Kansas City,Seattle,0.0,1.0,Ryan,Jon
Denver,Oakland,0.61,0.39,Micah,Matt
Atlanta,Tampa Bay,0.54,0.46,Matt,Brian
Carolina,New Orleans,0.13,0.87,Ryan,Micah
Dallas,N.Y. Giants,0.62,0.38,Brad,John
Detroit,Green Bay,0.35,0.65,Colin,Jon
Jacksonville,Houston,0.29,0.71,Brian,Colin
Miami,Buffalo,0.41,0.59,Brad,Ryan
N.Y. Jets,New England,0.11,0.89,Josh,Aaron
Arizona,Seattle,0.12,0.88,,Jon
Chicago,Minnesota,0.44,0.56,Aaron,Josh
Cincinnati,Pittsburgh,0.17,0.83,Jon,Brian
Cleveland,Baltimore,0.19,0.81,,John
L.A. Chargers,Denver,0.59,0.41,Matt,Micah
Oakland,Kansas City,0.1,0.9,Matt,Ryan
Philadelphia,Washington,0.65,0.35,Brad,Josh
San Francisco,L.A. Rams,0.15,0.85,Aaron,John
Indianapolis,Tennessee,0.38,0.62,Colin,Micah
L.A. Chargers,Kansas City,1.0,0.0,Matt,Ryan
Houston,N.Y. Jets,1.0,0.0,Colin,Josh
Cleveland,Denver,1.0,0.0,,Micah
Arizona,Atlanta,0.0,1.0,,Matt
Dallas,Indianapolis,0.0,1.0,Brad,Colin
Detroit,Buffalo,0.0,1.0,Colin,Ryan
Green Bay,Chicago,0.0,1.0,Jon,Aaron
Miami,Minnesota,0.0,1.0,Brad,Josh
Oakland,Cincinnati,0.0,1.0,Matt,Jon
